config_id,signal_type,entry_second_min,entry_second_max,threshold,duration_filter,total_bets,wins,losses,win_rate_pct,total_pnl,avg_bet_pnl,profit_factor,expected_value,sharpe_ratio,sortino_ratio,max_drawdown,std_dev_pnl,pct_profitable_assets,pct_profitable_durations,consistency_score,q1_pnl,q2_pnl,q3_pnl,q4_pnl,ranking_score,module,momentum_window_sec,velocity_threshold,eval_second,acceleration_enabled,acceleration_threshold,spike_threshold,spike_lookback_window,reversion_reversal_pct,min_reversion_seconds,exit_type,exit_profit_target_pct,exit_time_limit_sec,strategy_type,min_spread,max_spread,volatility_window_sec,volatility_threshold,volatility_direction,spread_expansion_threshold,spread_expansion_window,market_phase,early_cutoff_pct,late_start_pct,min_seconds_remaining,min_win_rate_pct,min_edge_pct,max_exposure_pct,total_signals,filtered_out,filtered_out_pct,strategy_name,combine_logic,has_vol_filter,has_time_filter
M2_0064,,,,,,3374,1581,1793,46.86,45.3602,0.013444,1.0581,0.013444,0.0278,0.1665,42.8128,0.484356,75.0,100.0,98.61,-4.9464,29.3244,24.6036,-3.6214,95.38,Module 2,5.0,0.003,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0018,,,,,,2401,1114,1287,46.4,31.5338,0.013134,1.0571,0.013134,0.0272,0.156,29.9632,0.482495,75.0,100.0,99.12,-11.5548,1.3456,48.0688,-6.3258,95.06,Module 2,3.0,0.005,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0455,,,,,,80,37,43,46.25,5.3956,0.067445,1.3742,0.067445,0.1441,0.4198,2.8284,0.468065,75.0,50.0,91.24,-0.696,2.771,2.2674,1.0532,95.06,Module 2,20.0,0.005,60.0,True,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0071,,,,,,2522,1156,1366,45.84,35.7672,0.014182,1.0617,0.014182,0.0293,0.1761,35.4002,0.483321,75.0,100.0,97.12,2.8814,14.7128,22.3468,-4.1738,95.04,Module 2,5.0,0.005,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0002,,,,,,3862,1840,2022,47.64,40.326,0.010442,1.0448,0.010442,0.0216,0.1272,35.091,0.484451,100.0,100.0,99.56,-19.3118,28.4582,30.3678,0.8118,95.03,Module 2,3.0,0.001,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0010,,,,,,3862,1840,2022,47.64,40.326,0.010442,1.0448,0.010442,0.0216,0.1272,35.091,0.484451,100.0,100.0,99.56,-19.3118,28.4582,30.3678,0.8118,95.03,Module 2,3.0,0.003,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6_0009,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.05,0.1,869.0,783.0,90.1,,,,
M6_0006,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.02,0.1,869.0,783.0,90.1,,,,
M6_0008,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.05,0.05,869.0,783.0,90.1,,,,
M6_0007,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.05,0.02,869.0,783.0,90.1,,,,
