market_id,asset,duration_minutes,second_entered,entry_price,direction,second_exited,exit_price,actual_result,pnl,outcome,hour
0xf5def8d8050b0b26f2b408b54ca032a61c89dccdba2dadb49df3d1f53dabd571,eth,15,8,0.45,Down,900,0.0,Up,-0.45,loss,6
0xe53832b917537420f9a0008d843bdba6f3c289b6de5e7b26cd52827ceffb922a,btc,5,1,0.38,Down,300,0.0,Up,-0.38,loss,6
0xc9f383f2f9d21f5ca7dcfbdbcb6d413df85d4aef2e803c89292598bc49bc49a1,eth,5,19,0.4,Down,300,0.0,Up,-0.4,loss,6
0x44b557b0eae7249e29e95f645838396b8864d9890b8f864996fb3e81a19ba27e,btc,5,1,0.4,Down,300,0.0,Up,-0.4,loss,6
0x26e44c461acf7be93fff77f28f32de93f6ce01e9a0c67b2d8f3217b9ed83a2d2,sol,5,15,0.45,Up,300,0.0,Down,-0.45,loss,7
0x6cbb99adc5562b0c889fd06abb010d5e56e4a92ccca1e14b41b8be7abebf8b67,eth,5,11,0.39,Down,300,0.0,Up,-0.39,loss,7
0x2f0aad7ee9842106f5fc4ad19e5fcb174d3dda598e235ce090f1f939a577db14,btc,5,14,0.44,Down,300,0.0,Up,-0.44,loss,7
0x2584ba57f48ed227d8c32d24509176e91f8c40955c8178db034d72a495ee22a4,eth,5,12,0.45,Down,300,1.0,Down,0.539,win,7
0xafa10ce6419d1f350f3251a1ccf30b9b17caca60b0f22c93f26eff174cd6bf53,btc,5,29,0.45,Down,300,0.0,Up,-0.45,loss,7
0x2602994391853f7d285087701ee6ccc654e078d901bb7c67d8ffdc7d0f2541b0,sol,5,20,0.44,Down,300,1.0,Down,0.5488,win,7
0xfcce0a79806849a3af8cda3cb235ae64e228549cdee86338448877a08c1b2423,sol,5,1,0.4,Up,300,0.0,Down,-0.4,loss,7
0x3f6047a256a6a569c6692b524b71ca8bd1f702c77f3eda6587cb89aacd82d135,eth,15,5,0.44,Up,900,0.0,Down,-0.44,loss,7
0x757a1f04852fd9b269a9ff8a9f12c1c8f92f2eb53e6c04db9000ea0caaf27550,eth,5,1,0.45,Down,300,1.0,Down,0.539,win,7
0x7930168733915e9c87d1b20b045a71559bc2eeff1e3a710c012f23bd89f31873,btc,5,1,0.44,Down,300,1.0,Down,0.5488,win,7
0xe75217d418be510dcd378114906da1a1a47df73c07553cda77b090cb6d8983cf,eth,5,8,0.45,Down,300,1.0,Down,0.539,win,7
