market_id,asset,duration_minutes,second_entered,entry_price,direction,second_exited,exit_price,actual_result,pnl,outcome,hour
0xd635725209ef5c8a54515cb32516ed69d6799dfb77465828db2d0202fc7378c6,eth,5,49,0.34,Up,52,0.38,Up,0.0392,win,15
0xede6ee8ddc7285ae69a0eb8f18ac6b1f1b00bf07d151992af94856ecb54c4176,sol,5,46,0.39,Up,51,0.43,Up,0.0392,win,16
0x15e7856e7b2bd1a2d6c25f4f0682b3633c7af9b32616b9355501ed737bde5294,eth,5,42,0.38,Up,49,0.43,Up,0.049,win,16
0x02dd5a16f67768d7dd9ca239f5a4c5f7d3eded481d936b4f774e0f34bdb44bcb,eth,5,67,0.35,Up,80,0.41,Down,0.0588,win,17
0xe789dfb6335af094f8dafefed0e23ad5f73b1877aa97f3540b3ee86180d40c50,eth,5,24,0.35,Down,300,0.0,Up,-0.35,loss,22
0x645658da9151c4e9ce8d2977df5539449f5bc3340c19fe1f41fcc03a45367dc6,sol,5,18,0.38,Down,37,0.43,Up,0.049,win,0
0x61f158e8043384a8bb07c27f3dae22660b2a60197d2c71250d95ed8c3c994608,eth,5,28,0.34,Down,29,0.38,Down,0.0392,win,1
0x55c1bb3529f63387b3d1fe29f4fecfd9779c5e5599d0d4be96fbe737f71ab74f,sol,5,27,0.37,Down,30,0.41,Down,0.0392,win,1
0xe01784fc9b56e8f2579e62da6a18ee7e8eca8892714e8c19e2575a18a78ceb0d,btc,5,54,0.36,Down,56,0.44,Down,0.0784,win,1
0xe7a3be1522713343b0eb86bb19a8dc701a5f772a630567e0d225862326957bed,sol,5,33,0.36,Down,84,0.4,Down,0.0392,win,1
0x9d4dd1a53c59740a2c50954b87f89d228cbb849470a890455cced1cde2c26f14,eth,5,35,0.33,Down,54,0.45,Down,0.1176,win,1
0x0777729175c9ab111f6b0d70835949bc3da2020c2b56d4898fba163a724d1b74,xrp,5,32,0.36,Down,35,0.41,Down,0.049,win,1
0xec5c5db7377d2bd2c9c131e8a73e41db87e517ad1d1e5900c29c0745d522ec00,eth,5,22,0.35,Down,27,0.44,Down,0.0882,win,2
0x491b8c6a0250abd475b777d70168e25637b9939521a208c8c3c5011bba01a3e6,sol,5,3,0.45,Down,18,0.5,Up,0.049,win,2
0x03f05f69eb4faa9b8a60beca2a404a2e5abbeaa2e46d8ebd168833e99f92855c,sol,5,63,0.39,Up,71,0.44,Up,0.049,win,3
0x2a941f1fcedc7fc1c605dec176a87190cc273ef61b47c61b32d6d7d48fe4d9a9,xrp,5,63,0.4,Up,72,0.45,Up,0.049,win,3
0x8b3aa7b54bb376f09a8868d1977040a0999f21a71b3d28d3b8bb002f8acd3581,sol,5,31,0.31,Down,33,0.35,Up,0.0392,win,4
0xdad1d15507c40ec3bcc3e86ecb8c4b0695164e88a2f5a511b8b252ee9f9f293d,xrp,5,31,0.3,Down,33,0.36,Up,0.0588,win,4
0xf83e4c16cb3694dfb7883606488be4d815df71854c933bb605665f5fc79ce15f,sol,5,8,0.39,Down,9,0.44,Down,0.049,win,4
0x0cc5913b878289c17b2d327e4af6eac4c753689096e4e81dce9b596fc7da33ae,eth,5,12,0.42,Down,13,0.51,Down,0.0882,win,4
0x53b04f220d21f633884c4b4285a9b2399ad11e1d82e78151dee5302ac87b73b8,sol,5,64,0.4,Down,94,0.45,Down,0.049,win,6
0xfc4d0bb65ac28f7bde94bcb579be275c204ae421d441ec61a642a5a9fe1155fa,xrp,5,55,0.35,Up,62,0.39,Up,0.0392,win,8
0xc1497870ad330e7a05d9752ed492f16f2f879db173f361ec39dc2072903f1f3c,xrp,5,30,0.35,Up,65,0.45,Down,0.098,win,10
0x0f422d48d5fee56f75daad1333e838b0ea796d196fa1ccf227ad949d58995f9a,sol,5,24,0.37,Down,116,0.42,Down,0.049,win,15
0xf532c4d38cfe38791d60779298f972d01d5bd371d4dda82d85cc7db216009f88,sol,5,24,0.33,Down,25,0.42,Up,0.0882,win,19
0x9acecfb5c668e7ce866cc021066efeb4a128b503a22d7956210fa04cc0a8995d,sol,5,23,0.3,Down,300,0.0,Up,-0.3,loss,20
0xc7c0079b2550fe4e3800685bf756d10aee002313ab86fd2f05bc1e9792410de3,eth,5,50,0.37,Down,54,0.41,Up,0.0392,win,22
0x1d7a811479cba23ec9c7488b4b904f2e56fe6fc637cf7ecd1606314956eb74b6,eth,5,27,0.38,Up,34,0.42,Up,0.0392,win,1
0x8be91f7105e9a00f17f2170122bae4633cba38cf44c95ab44f11421d7ccffa24,eth,5,48,0.49,Down,293,0.54,Up,0.049,win,5
0x54e946f0bcfc54b589cf57633155775b71375086be08aa730610acd5a6c4c7fb,sol,5,37,0.36,Down,48,0.52,Down,0.1568,win,5
0xc6f0bd2b652c9ac3621faeba7d9ec37f74c7f478e0da327360ba7214afccc2c0,eth,5,11,0.35,Down,13,0.39,Up,0.0392,win,11
0x08f9b2fd3fbdf721e913bad1a55b6c807bb4f1a8f5f548eff3327b66926925a6,xrp,5,5,0.37,Down,6,0.42,Down,0.049,win,12
